提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
848605,3325,「SNOI2020」区间和,Accepted,100,2021 ms,13.67 M,C++ 11 (Clang),2.5 K,Isaunoya,2020-06-28 21:45:18
847593,3298,「BJOI2020」封印,Accepted,100,660 ms,34.98 M,C++ 11 (Clang),2.3 K,Isaunoya,2020-06-27 18:19:00
812015,2541,「PKUWC2018」猎人杀,Accepted,100,3013 ms,20.86 M,C++ 11 (Clang),3.2 K,Isaunoya,2020-05-18 22:17:45
788943,6036,「雅礼集训 2017 Day4」编码,Accepted,100,1000 ms,287.75 M,C++ 11 (Clang),6.6 K,Isaunoya,2020-04-16 23:51:15
787162,6198,谢特,Accepted,100,986 ms,89.12 M,C++ 11 (Clang),6.9 K,Isaunoya,2020-04-14 21:04:04
775824,6031,「雅礼集训 2017 Day1」字符串,Accepted,100,625 ms,52.21 M,C++ 11 (Clang),8.7 K,Isaunoya,2020-03-28 19:40:39
757355,6046,「雅礼集训 2017 Day8」爷,Accepted,100,10045 ms,23.58 M,C++ 11 (Clang),4.7 K,Isaunoya,2020-03-02 22:14:21
756962,6030,「雅礼集训 2017 Day1」矩阵,Accepted,100,102 ms,1.12 M,C++ 11 (Clang),995 B,Isaunoya,2020-03-02 17:39:26
756256,6510,「雅礼集训 2018 Day8」A,Accepted,100,206 ms,5.12 M,C++ 11 (Clang),3.4 K,Isaunoya,2020-03-01 17:18:46
755719,6039,「雅礼集训 2017 Day5」珠宝,Accepted,100,4497 ms,19.60 M,C++ 11 (Clang),3.3 K,Isaunoya,2020-02-29 23:33:30
754978,3052,「十二省联考 2019」春节十二响,Accepted,100,352 ms,12.36 M,C++ 11 (Clang),2.8 K,Isaunoya,2020-02-29 11:23:45
754250,6041,「雅礼集训 2017 Day7」事情的相似度,Accepted,100,2918 ms,59.86 M,C++ 11 (Clang),4.4 K,Isaunoya,2020-02-28 13:09:52
752085,2865,「IOI2018」狼人,Accepted,100,27705 ms,1.15 M,C++ 11,3.2 K,Isaunoya,2020-02-25 17:05:43
747291,6029,「雅礼集训 2017 Day1」市场,Accepted,100,1801 ms,8.99 M,C++ 11 (Clang),3.3 K,Isaunoya,2020-02-18 17:05:58
745153,3145,「APIO2019」桥梁,Accepted,100,77793 ms,6.69 M,C++ 11 (Clang),5.3 K,Isaunoya,2020-02-15 17:06:28
744264,6499,「雅礼集训 2018 Day2」颜色,Accepted,100,4719 ms,7.82 M,C++ 11 (Clang),4.5 K,Isaunoya,2020-02-14 14:23:00
739661,6038,「雅礼集训 2017 Day5」远行,Accepted,100,2727 ms,11.42 M,C++ 11 (Clang),4.9 K,Isaunoya,2020-02-07 18:16:58
730019,2639,「TJOI2017」不勤劳的图书管理员,Accepted,100,32335 ms,145.96 M,C++ 11 (Clang),6.1 K,Isaunoya,2020-01-25 11:48:22
719613,113,最大异或和,Accepted,100,18 ms,252 K,C++ 11 (Clang),2.5 K,Isaunoya,2020-01-14 21:30:00
719605,108,多项式乘法,Accepted,100,3414 ms,123.33 M,C++ 11 (Clang),1.6 K,Isaunoya,2020-01-14 21:26:44
719599,110,乘法逆元,Accepted,100,293 ms,24.09 M,C++ 11 (Clang),2.3 K,Isaunoya,2020-01-14 21:24:44
719587,104,普通平衡树,Accepted,100,281 ms,3.25 M,C++ 11 (Clang),4.7 K,Isaunoya,2020-01-14 21:21:27
719533,3,Copycat,Accepted,100,56 ms,252 K,C++ 11 (Clang),2.3 K,Isaunoya,2020-01-14 20:56:27
719528,2,"Hello, World!",Accepted,100,3 ms,252 K,C++ 11 (Clang),2.2 K,Isaunoya,2020-01-14 20:53:59
