提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
861031,2119,「HEOI2015」公约数数列,Accepted,100,729 ms,14.96 M,C++,2.8 K,cutekibry,2020-07-14 7:39:25
860782,2562,「SDOI2018」战略游戏,Accepted,100,2872 ms,52.37 M,C++,3.1 K,cutekibry,2020-07-13 19:44:53
860193,146,DFS 序 3，树上差分 1,Accepted,100,5144 ms,153.15 M,C++,3.1 K,cutekibry,2020-07-13 7:41:49
860107,10067,「一本通 3.1 练习 2」构造完全图,Accepted,100,89 ms,2.75 M,C++,1.2 K,cutekibry,2020-07-12 21:55:24
860077,137,最小瓶颈路 加强版,Accepted,100,1319 ms,24.50 M,C++,2.1 K,cutekibry,2020-07-12 20:44:53
860056,134,二维树状数组 2：区间修改，单点查询,Accepted,100,4038 ms,128.50 M,C++,772 B,cutekibry,2020-07-12 19:59:23
860032,117,有源汇有上下界最小流,Accepted,100,1214 ms,8.50 M,C++,2.1 K,cutekibry,2020-07-12 19:40:54
859983,116,有源汇有上下界最大流,Accepted,100,19 ms,764 K,C++,2.1 K,cutekibry,2020-07-12 18:54:51
859969,6283,数列分块入门 7,Accepted,100,749 ms,992 K,C++,1.8 K,cutekibry,2020-07-12 18:42:02
859625,3303,「联合省选 2020 A」树,Accepted,100,15470 ms,92.25 M,C++,2.1 K,cutekibry,2020-07-12 7:49:06
859623,3299,「联合省选 2020 A | B」冰火战士,Accepted,100,6064 ms,133.59 M,C++,4.0 K,cutekibry,2020-07-12 7:47:48
859435,3156,「NOI2019」回家路线,Accepted,100,362 ms,9.25 M,C++,2.4 K,cutekibry,2020-07-11 19:57:11
859264,10050,「一本通 2.3 例 2」The XOR Largest Pair,Accepted,100,82 ms,10.75 M,C++,759 B,cutekibry,2020-07-11 16:45:27
859255,10119,「一本通 4.2 例 1」数列区间最大值,Accepted,100,214 ms,8.53 M,C++,1.4 K,cutekibry,2020-07-11 16:37:24
859249,10012,「一本通 1.2 例 2」Best Cow Fences,Accepted,100,45 ms,508 K,C++,695 B,cutekibry,2020-07-11 16:28:39
859149,6279,数列分块入门 3,Accepted,100,7719 ms,1.28 M,C++,2.0 K,cutekibry,2020-07-11 14:14:35
838766,2567,「APIO2016」划艇,Accepted,100,14100 ms,4.25 M,C++,3.4 K,cutekibry,2020-06-17 7:08:33
837171,2569,「APIO2016」最大差分,Accepted,100,15950 ms,1.00 M,C++,1.3 K,cutekibry,2020-06-15 19:17:36
836502,3271,「JOISC 2020 Day1」建筑装饰 4,Accepted,100,4692 ms,23.93 M,C++,1.3 K,cutekibry,2020-06-15 10:08:27
834148,2865,「IOI2018」狼人,Accepted,100,18163 ms,615 K,C++,4.9 K,cutekibry,2020-06-12 21:37:24
833583,6727,「hyOI2020」henry_y 的数列,Accepted,100,16291 ms,2.90 M,C++,4.1 K,cutekibry,2020-06-12 13:45:40
816852,6718,九个太阳「弱」化版,Accepted,100,5379 ms,7.60 M,C++,3.7 K,cutekibry,2020-05-25 14:05:03
816580,10202,「一本通 6.2 练习 5」樱花,Accepted,100,16 ms,1.13 M,C++,406 B,cutekibry,2020-05-24 21:04:12
746275,2311,「ZJOI2006」物流运输,Accepted,100,25 ms,252 K,C++,1.9 K,cutekibry,2020-02-17 9:06:47
742049,10196,「一本通 6.1 练习 3」越狱,Accepted,100,12 ms,184 K,C++,454 B,cutekibry,2020-02-11 10:03:57
723661,2033,「SDOI2016」生成魔咒,Accepted,100,392 ms,13.28 M,C++,1.1 K,cutekibry,2020-01-17 16:48:20
722202,2291,「THUSC 2016」补退选,Accepted,100,7497 ms,140.07 M,C++,1.2 K,cutekibry,2020-01-16 18:34:16
721580,2102,「TJOI2015」弦论,Accepted,100,2680 ms,102.97 M,C++,1.8 K,cutekibry,2020-01-16 14:12:40
714307,2049,「HNOI2016」网络,Accepted,100,6377 ms,175.94 M,C++,2.4 K,cutekibry,2020-01-08 20:54:10
714218,2043,「CQOI2016」K 远点对,Accepted,100,597 ms,4.00 M,C++,2.7 K,cutekibry,2020-01-08 19:48:15
703029,10209,「一本通 6.4 例 1」青蛙的约会,Accepted,100,20 ms,124 K,C++,514 B,cutekibry,2019-12-20 18:58:59
702864,2558,「LNOI2014」LCA,Accepted,100,360 ms,3.94 M,C++,3.1 K,cutekibry,2019-12-20 13:41:54
702493,2059,「TJOI / HEOI2016」字符串,Accepted,100,5226 ms,24.47 M,C++,4.1 K,cutekibry,2019-12-19 21:03:21
701487,2377,「AHOI2013」 差异,Accepted,100,1546 ms,17.75 M,C++ 11,1.9 K,cutekibry,2019-12-18 20:04:09
700564,2305,「NOI2017」游戏,Accepted,100,204 ms,9.45 M,C++,2.4 K,cutekibry,2019-12-17 19:35:28
699942,2527,「HAOI2018」染色,Accepted,100,1777 ms,78.62 M,C++,2.7 K,cutekibry,2019-12-16 22:04:51
699593,2653,「POI2007」山峰和山谷 Ridges and Valleys,Accepted,100,1105 ms,12.62 M,C++,1.6 K,cutekibry,2019-12-16 18:57:32
699587,6183,看无可看,Accepted,100,3784 ms,10.87 M,C++,3.6 K,cutekibry,2019-12-16 18:45:02
697214,2143,「SHOI2017」组合数问题,Accepted,100,546 ms,124 K,C++,1.2 K,cutekibry,2019-12-14 7:19:31
696161,2513,「BJOI2018」治疗之雨,Accepted,100,1308 ms,232 K,C++,2.3 K,cutekibry,2019-12-12 17:36:48
689465,2062,「HAOI2016」地图,Accepted,100,2438 ms,11.16 M,C++,3.9 K,cutekibry,2019-12-05 18:44:13
684571,6054,「from CommonAnts」一道数学题,Accepted,100,383 ms,30.12 M,C++,7.5 K,cutekibry,2019-11-29 14:14:58
683469,2065,「SDOI2016」模式字符串,Accepted,100,1840 ms,7.87 M,C++,3.6 K,cutekibry,2019-11-26 21:07:11
683048,6433,「PKUSC2018」最大前缀和,Accepted,100,1258 ms,12.12 M,C++,1.6 K,cutekibry,2019-11-25 20:04:59
682752,2114,「HNOI2015」菜肴制作,Accepted,100,591 ms,2.44 M,C++,992 B,cutekibry,2019-11-25 13:49:59
682422,2058,「TJOI / HEOI2016」求和,Accepted,100,383 ms,3.87 M,C++,2.7 K,cutekibry,2019-11-23 18:10:30
682034,2048,「HNOI2016」最小公倍数,Accepted,100,4787 ms,4.82 M,C++,4.2 K,cutekibry,2019-11-22 21:56:26
681851,2874,「JOISC 2014 Day1」历史研究,Accepted,100,5222 ms,3.60 M,C++,2.4 K,cutekibry,2019-11-22 15:01:32
677658,2148,「SCOI2005」栅栏,Accepted,100,327 ms,252 K,C++,1.2 K,cutekibry,2019-11-14 16:48:36
677657,2149,「SCOI2005」繁忙的都市,Accepted,100,35 ms,252 K,C++,769 B,cutekibry,2019-11-14 16:48:15
677656,2152,「SCOI2005」王室联邦,Accepted,100,28 ms,4.00 M,C++,1.4 K,cutekibry,2019-11-14 16:47:49
677509,6287,诗歌,Accepted,100,736 ms,5.87 M,C++,2.4 K,cutekibry,2019-11-14 15:53:51
664896,2151,「SCOI2005」骑士精神,Accepted,100,415 ms,43.00 M,C++,3.0 K,cutekibry,2019-11-07 9:24:26
656739,6247,九个太阳,Accepted,100,120 ms,124 K,C++,1.1 K,cutekibry,2019-11-01 7:08:10
652363,2184,「SDOI2015」星际战争,Accepted,100,31 ms,252 K,C++,2.2 K,cutekibry,2019-10-28 20:20:03
633089,2030,「SDOI2016」储能表,Accepted,100,1606 ms,200 K,C++,1.9 K,cutekibry,2019-10-10 13:50:38
630844,2060,「HAOI2016」食物链,Accepted,100,266 ms,8.12 M,C++,908 B,cutekibry,2019-10-08 14:02:03
630452,6702,「hyOI2019」henry_y 的莫比乌斯函数,Accepted,100,4262 ms,40.88 M,C++,1.5 K,cutekibry,2019-10-07 21:50:39
621996,2004,「SDOI2017」硬币游戏,Accepted,100,271 ms,3.00 M,C++,2.2 K,cutekibry,2019-09-30 18:31:13
613758,2986,「SHOI2008」堵塞的交通,Accepted,100,765 ms,6.36 M,C++,4.5 K,cutekibry,2019-09-23 13:31:21
585577,10203,「一本通 6.3 例 1」反素数 Antiprime,Accepted,100,20 ms,124 K,C++,1.1 K,cutekibry,2019-08-26 19:48:44
585505,10091,「一本通 3.5 例 1」受欢迎的牛,Accepted,100,65 ms,1.12 M,C++,1.8 K,cutekibry,2019-08-26 18:33:44
564840,2483,「CEOI2017」Building Bridges,Accepted,100,1477 ms,66.03 M,C++,1.9 K,cutekibry,2019-08-09 11:11:24
