提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
859530,2325,「清华集训 2017」小 Y 和恐怖的奴隶主,Accepted,100,2172 ms,7.37 M,C++,2.5 K,moonoshawott,2020-07-11 21:06:55
853743,2238,「CQOI2014」和谐矩阵,Accepted,100,38 ms,508 K,C++,1.2 K,moonoshawott,2020-07-04 21:16:13
853701,2211,「SCOI2014」方伯伯的玉米田,Accepted,100,4096 ms,72.50 M,C++,1.5 K,moonoshawott,2020-07-04 20:12:42
853575,2205,「HNOI2014」画框,Accepted,100,216 ms,252 K,C++,3.9 K,moonoshawott,2020-07-04 16:47:24
853562,2164,「POI2011 R2 Day2」气温 Temperature,Accepted,100,782 ms,2.62 M,C++,835 B,moonoshawott,2020-07-04 16:31:34
853547,2160,「POI2011 R2 Day0」保险箱 Strongbox,Accepted,100,2012 ms,2.25 M,C++,1.2 K,moonoshawott,2020-07-04 16:21:16
851835,2197,「SDOI2014」向量集,Accepted,100,1341 ms,76.41 M,C++,4.5 K,moonoshawott,2020-07-02 20:57:30
851772,2174,「FJOI2016」神秘数,Accepted,100,837 ms,35.98 M,C++,1.3 K,moonoshawott,2020-07-02 20:16:14
851445,2161,「POI2011 R2 Day1」差值 Difference,Accepted,100,1911 ms,5.00 M,C++,857 B,moonoshawott,2020-07-02 13:29:57
850302,2163,「POI2011 R2 Day2」旋转树木 Tree Rotations ,Accepted,100,1087 ms,16.50 M,C++,1.6 K,moonoshawott,2020-06-30 20:25:30
850265,2162,「POI2011 R2 Day1」垃圾运输 Garbage,Accepted,100,262 ms,23.16 M,C++,2.3 K,moonoshawott,2020-06-30 19:43:57
849833,2173,「FJOI2016」建筑师,Accepted,100,538 ms,40.37 M,C++,797 B,moonoshawott,2020-06-30 13:15:15
849472,2110,「JLOI2015」管道连接,Accepted,100,3026 ms,4.25 M,C++,2.3 K,moonoshawott,2020-06-30 7:28:14
849297,2073,「JSOI2016」扭动的回文串,Accepted,100,360 ms,2.25 M,C++,1.8 K,moonoshawott,2020-06-29 19:45:00
848608,2240,「CQOI2014」数三角形,Accepted,100,285 ms,11.82 M,C++ 11,947 B,moonoshawott,2020-06-28 21:47:31
848570,2096,「CQOI2015」网络吞吐量,Accepted,100,78 ms,3.62 M,C++,2.9 K,moonoshawott,2020-06-28 21:11:54
848530,2045,「CQOI2016」密钥破解,Accepted,100,25 ms,124 K,C++ 11,1.2 K,moonoshawott,2020-06-28 20:23:40
839820,2116,「HNOI2015」开店,Accepted,100,11069 ms,185.25 M,C++ 11,6.8 K,moonoshawott,2020-06-17 21:36:02
839176,2267,「SDOI2017」龙与地下城,Accepted,100,3685 ms,220.46 M,C++,3.8 K,moonoshawott,2020-06-17 14:18:47
839032,2069,「SDOI2016」齿轮,Accepted,100,588 ms,508 K,C++,3.3 K,moonoshawott,2020-06-17 12:17:17
838338,3145,「APIO2019」桥梁,Accepted,100,38067 ms,6.38 M,C++,3.4 K,moonoshawott,2020-06-16 19:44:50
837917,6291,小 L 进阶的斐波那契数列游戏,Accepted,100,10 ms,124 K,C++,1.7 K,moonoshawott,2020-06-16 14:05:06
829743,6397,「THUPC2018」蛋糕 / Cake,Accepted,100,9 ms,72 K,C++,667 B,moonoshawott,2020-06-09 13:35:43
829249,3108,「TJOI2019」甲苯先生和大中锋的字符串,Accepted,100,2254 ms,27.87 M,C++,1.8 K,moonoshawott,2020-06-08 21:51:50
829089,2246,「NOI2014」动物园,Accepted,100,140 ms,8.75 M,C++,961 B,moonoshawott,2020-06-08 20:04:15
828774,2123,「HEOI2015」最短不公共子串,Accepted,100,233 ms,31.62 M,C++,3.0 K,moonoshawott,2020-06-08 15:50:27
824647,6252,「CodePlus 2017 11 月赛」大吉大利，晚上吃鸡！,Accepted,100,4049 ms,599.55 M,C++,2.9 K,moonoshawott,2020-06-04 13:54:48
824324,2555,「CTSC2018」混合果汁,Accepted,100,3869 ms,42.18 M,C++,1.9 K,moonoshawott,2020-06-03 20:58:21
824231,6198,谢特,Accepted,100,900 ms,33.75 M,C++,3.2 K,moonoshawott,2020-06-03 19:30:54
823361,2192, 「SHOI2014」概率充电器,Accepted,100,1950 ms,51.62 M,C++,1.7 K,moonoshawott,2020-06-02 20:04:57
823147,2196,「SDOI2014」Lis,Accepted,100,858 ms,2.12 M,C++,2.9 K,moonoshawott,2020-06-02 18:58:01
822308,6165,一道水题,Accepted,100,74 ms,252 K,C++,11.0 K,moonoshawott,2020-06-01 21:27:30
822249,2429,「POI2010」智力测验 Intelligence Test,Accepted,100,787 ms,38.37 M,C++,1.2 K,moonoshawott,2020-06-01 20:48:12
819066,2534,「CQOI2018」异或序列,Accepted,100,548 ms,2.46 M,C++,1.0 K,moonoshawott,2020-05-28 21:53:54
819026,3083,「GXOI / GZOI2019」与或和,Accepted,100,2730 ms,5.00 M,C++,1.7 K,moonoshawott,2020-05-28 21:14:33
818442,2180,「BJOI2017」魔法咒语,Accepted,100,528 ms,764 K,C++,2.8 K,moonoshawott,2020-05-27 22:01:41
818295,2251,「ZJOI2017」树状数组,Accepted,100,4419 ms,245.16 M,C++,2.9 K,moonoshawott,2020-05-27 19:31:30
817780,2274,「JXOI2017」加法 ,Accepted,100,1666 ms,1.74 M,C++,1.2 K,moonoshawott,2020-05-26 21:27:08
817673,6485,LJJ 学二项式定理,Accepted,100,1838 ms,184 K,C++,944 B,moonoshawott,2020-05-26 19:03:25
817643,2179,「BJOI2017」树的难题,Accepted,100,2408 ms,30.12 M,C++,4.7 K,moonoshawott,2020-05-26 18:36:49
817285,2145,「SHOI2017」分手是祝愿,Accepted,100,102 ms,8.87 M,C++,1.1 K,moonoshawott,2020-05-25 22:04:15
817153,2491,「BJOI2018」求和,Accepted,100,904 ms,97.79 M,C++,1.8 K,moonoshawott,2020-05-25 20:01:42
817129,3089,「BJOI2019」奥术神杖,Accepted,100,3237 ms,23.12 M,C++,2.4 K,moonoshawott,2020-05-25 19:44:37
815890,530,「LibreOJ β Round #5」最小倍数,Accepted,100,3550 ms,208 K,C++,1.5 K,moonoshawott,2020-05-23 20:10:34
815847,3106,「TJOI2019」唱、跳、rap 和篮球,Accepted,100,877 ms,11.75 M,C++,2.7 K,moonoshawott,2020-05-23 19:22:56
815006,3107,「TJOI2019」大中锋的游乐场,Accepted,100,372 ms,6.74 M,C++,1.9 K,moonoshawott,2020-05-22 20:02:18
