提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
909874,2058,「TJOI / HEOI2016」求和,Accepted,100,957 ms,5.87 M,C++ 11 (NOI),2.4 K,QuartZ_Z,2020-08-18 21:18:14
908510,2671,「NOI2012」骑行川藏,Accepted,100,1253 ms,380 K,C++ 11 (NOI),1.4 K,QuartZ_Z,2020-08-17 20:39:54
908339,114,k 大异或和,Accepted,100,176 ms,124 K,C++ 11 (NOI),1.1 K,QuartZ_Z,2020-08-17 19:33:24
905171,2886,「APIO2015」巴厘岛的雕塑 Bali Sculptures,Accepted,100,994 ms,508 K,C++ 11,1.5 K,QuartZ_Z,2020-08-15 08:37:40
905002,3144,「APIO2019」奇怪装置,Accepted,100,4214 ms,15.44 M,C++ 11,1.3 K,QuartZ_Z,2020-08-14 21:19:22
903218,3176,「IOI2019」景点划分,Accepted,100,1658 ms,10.06 M,C++ 11,3.3 K,QuartZ_Z,2020-08-13 15:40:21
900980,3330,「WC2020」猜数游戏,Accepted,100,703 ms,380 K,C++ 11,2.1 K,QuartZ_Z,2020-08-11 21:49:30
900346,3177,「IOI2019」矩形区域,Accepted,100,38427 ms,324.49 M,C++ 11,2.9 K,QuartZ_Z,2020-08-11 15:29:53
890275,560,「LibreOJ Round #9」Menci 的序列,Accepted,100,210 ms,6.11 M,C++ 11,1.4 K,QuartZ_Z,2020-08-04 07:17:01
887349,2229,「BJOI2014」想法,Accepted,100,3248 ms,21.51 M,C++ 11,1.1 K,QuartZ_Z,2020-08-01 21:30:41
884379,6507,「雅礼集训 2018 Day7」A,Accepted,100,2973 ms,22.05 M,C++ 11,3.1 K,QuartZ_Z,2020-07-31 07:38:55
882537,6695,天气之子 Tenki,Accepted,100,60 ms,124 K,C++ 11,1.8 K,QuartZ_Z,2020-07-29 20:55:56
869393,6187,Odd,Accepted,100,7650 ms,19.12 M,C++ 11,2.8 K,QuartZ_Z,2020-07-21 11:17:27
864423,6270,数据结构板子题,Accepted,100,1601 ms,21.09 M,C++ 11,2.0 K,QuartZ_Z,2020-07-16 21:59:06
864326,6233,Hash killer V,Accepted,100,149 ms,232 K,C++ 11,1.3 K,QuartZ_Z,2020-07-16 20:32:43
864071,6713,「EC Final 2019」狄利克雷 k 次根 加强版,Accepted,100,761 ms,23.32 M,C++ 11,2.1 K,QuartZ_Z,2020-07-16 16:41:07
862589,102,最小费用流,Accepted,100,2742 ms,508 K,C++ 11,2.7 K,QuartZ_Z,2020-07-15 13:35:54
860591,2131,「NOI2015」寿司晚宴,Accepted,100,138 ms,892 K,C++ 11,2.0 K,QuartZ_Z,2020-07-13 16:21:49
860102,2834,「JOISC 2018 Day 2」修行,Accepted,100,159 ms,1.62 M,C++ 11,1.2 K,QuartZ_Z,2020-07-12 21:42:47
856135,2085,「NOI2016」循环之美,Accepted,100,2932 ms,142.62 M,C++ 11,2.0 K,QuartZ_Z,2020-07-07 22:07:32
853670,2084,「NOI2016」网格,Accepted,100,1225 ms,129.59 M,C++ 11,4.9 K,QuartZ_Z,2020-07-04 19:17:43
851183,3301,「联合省选 2020 A」魔法商店,Accepted,100,488 ms,2.75 M,C++ 11,4.3 K,QuartZ_Z,2020-07-01 20:40:54
848875,3303,「联合省选 2020 A」树,Accepted,100,7278 ms,91.12 M,C++ 11,1.9 K,QuartZ_Z,2020-06-29 11:50:07
847744,3304,「联合省选 2020 A」作业题,Accepted,100,284 ms,4.25 M,C++ 11,3.3 K,QuartZ_Z,2020-06-27 21:19:36
843947,3302,「联合省选 2020 A | B」信号传递,Accepted,100,2845 ms,97.25 M,C++ 11,1.9 K,QuartZ_Z,2020-06-23 19:50:02
843511,3300,「联合省选 2020 A」组合数问题,Accepted,100,187 ms,4.00 M,C++ 11,2.1 K,QuartZ_Z,2020-06-23 13:50:00
843509,3299,「联合省选 2020 A | B」冰火战士,Accepted,100,4538 ms,96.13 M,C++ 11,3.0 K,QuartZ_Z,2020-06-23 13:48:21
840201,2651,「POI2007」对称轴 Axes of Symmetry,Accepted,100,213 ms,8.50 M,C++ 11,1.7 K,QuartZ_Z,2020-06-18 12:06:10
840157,2444,「NOI2011」阿狸的打字机,Accepted,100,92 ms,12.82 M,C++ 11,2.6 K,QuartZ_Z,2020-06-18 11:15:37
839948,2579,「SHOI2011」双倍回文,Accepted,100,20 ms,4.87 M,C++ 11,1.1 K,QuartZ_Z,2020-06-18 06:30:59
839313,2049,「HNOI2016」网络,Accepted,100,4406 ms,199.96 M,C++ 11,3.4 K,QuartZ_Z,2020-06-17 16:04:34
839027,2206,「HNOI2014」世界树,Accepted,100,700 ms,41.64 M,C++ 11,5.2 K,QuartZ_Z,2020-06-17 12:10:42
838539,6714,Stupid Product,Accepted,100,2712 ms,36.37 M,C++ 11,1.2 K,QuartZ_Z,2020-06-16 21:08:11
838448,6682,梦中的数论,Accepted,100,1308 ms,2.87 M,C++ 11,1.9 K,QuartZ_Z,2020-06-16 20:30:27
836523,3049,「十二省联考 2019」字符串问题,Accepted,100,15202 ms,614.05 M,C++ 11,6.3 K,QuartZ_Z,2020-06-15 10:27:24
832570,2478,「九省联考 2018」林克卡特树,Accepted,100,22658 ms,32.00 M,C++ 11,2.1 K,QuartZ_Z,2020-06-11 14:55:15
831881,2477,「九省联考 2018」劈配,Accepted,100,419 ms,10.74 M,C++ 11,3.5 K,QuartZ_Z,2020-06-10 20:44:37
827756,2024,「JLOI / SHOI2016」侦查守卫,Accepted,100,739 ms,108.75 M,C++ 11,1.7 K,QuartZ_Z,2020-06-07 14:27:34
826067,2472,「九省联考 2018」IIIDX,Accepted,100,954 ms,19.58 M,C++ 11,2.2 K,QuartZ_Z,2020-06-05 21:30:38
825041,2471,「九省联考 2018」一双木棋,Accepted,100,79 ms,8.12 M,C++ 11,1.4 K,QuartZ_Z,2020-06-04 19:53:04
822839,2072,「JSOI2016」独特的树叶,Accepted,100,115 ms,7.50 M,C++ 11,2.2 K,QuartZ_Z,2020-06-02 13:39:06
821309,2305,「NOI2017」游戏,Accepted,100,46 ms,9.32 M,C++ 11,2.6 K,QuartZ_Z,2020-06-01 06:20:42
818618,2568,「APIO2016」烟花表演,Accepted,100,1970 ms,49.37 M,C++ 11,2.3 K,QuartZ_Z,2020-05-28 11:47:32
815160,2391,「JOISC 2017 Day 1」港口设施,Accepted,100,27910 ms,99.37 M,C++ 11,2.3 K,QuartZ_Z,2020-05-22 21:52:51
812855,3228,「USACO 2019.12 Platinum」Tree Depth,Accepted,100,292 ms,252 K,C++ 11,1.4 K,QuartZ_Z,2020-05-20 06:10:46
812510,2331,「清华集训 2017」某位歌姬的故事,Accepted,100,46 ms,8.00 M,C++ 11,3.7 K,QuartZ_Z,2020-05-19 20:09:50
811919,3284,「USACO 2020 US Open Platinum」Exercise,Accepted,100,1487 ms,134.87 M,C++ 11,1.6 K,QuartZ_Z,2020-05-18 20:34:06
811510,3283,「USACO 2020 US Open Platinum」Sprinklers 2: Return of the Alfalfa,Accepted,100,435 ms,34.62 M,C++ 11,1.2 K,QuartZ_Z,2020-05-18 11:29:01
811305,3276,「JOISC 2020 Day2」遗迹,Accepted,100,2339 ms,4.37 M,C++ 11,1.6 K,QuartZ_Z,2020-05-17 19:42:28
810290,3267,「USACO 2020.2 Platinum」Help Yourself,Accepted,100,3876 ms,66.87 M,C++ 11,3.5 K,QuartZ_Z,2020-05-16 21:19:06
809721,3226,「USACO 2019.12 Platinum」Greedy Pie Eaters,Accepted,100,156 ms,55.25 M,C++ 11,1.1 K,QuartZ_Z,2020-05-16 11:41:35
809394,3227,「USACO 2019.12 Platinum」Bessie's Snow Cow,Accepted,100,248 ms,15.03 M,C++ 11,2.4 K,QuartZ_Z,2020-05-15 21:14:45
809368,2337,「USACO 2017.12 Platinum」Greedy Gift Takers,Accepted,100,531 ms,892 K,C++ 11,995 B,QuartZ_Z,2020-05-15 20:50:32
809011,2669,「NOI2013」快餐店,Accepted,100,101 ms,13.50 M,C++ 11,4.2 K,QuartZ_Z,2020-05-15 14:10:34
808526,2664,「NOI2013」向量内积,Accepted,100,5603 ms,99.12 M,C++ 11,2.3 K,QuartZ_Z,2020-05-14 20:41:31
808254,3277,「JOISC 2020 Day3」星座 3,Accepted,100,3570 ms,113.16 M,C++ 11,3.5 K,QuartZ_Z,2020-05-14 06:53:34
805980,2882,「JOISC 2014 Day4」两个人的星座,Accepted,100,9124 ms,252 K,C++ 11,2.3 K,QuartZ_Z,2020-05-11 10:50:26
799792,2083,「NOI2016」优秀的拆分,Accepted,100,230 ms,5.00 M,C++ 11,3.3 K,QuartZ_Z,2020-05-01 21:42:59
790972,2250,「ZJOI2017」仙人掌,Accepted,100,1228 ms,19.86 M,C++ 11,2.0 K,QuartZ_Z,2020-04-19 13:37:28
785416,6029,「雅礼集训 2017 Day1」市场,Accepted,100,1255 ms,8.50 M,C++ 11,3.7 K,QuartZ_Z,2020-04-12 13:53:15
778281,3275,「JOISC 2020 Day2」有趣的 Joitter 交友,Accepted,100,5796 ms,38.35 M,C++ 11,2.1 K,QuartZ_Z,2020-04-01 12:53:47
774928,3280,「JOISC 2020 Day4」首都城市,Accepted,100,17510 ms,71.25 M,C++ 11,3.6 K,QuartZ_Z,2020-03-27 21:03:58
771218,3274,「JOISC 2020 Day2」变色龙之恋,Accepted,100,1465 ms,78 K,C++ 11,1.9 K,QuartZ_Z,2020-03-23 10:40:34
769808,3271,「JOISC 2020 Day1」建筑装饰 4,Accepted,100,4121 ms,45.92 M,C++ 11,2.1 K,QuartZ_Z,2020-03-21 15:49:07
762148,2758,「JOI 2014 Final」年轮蛋糕,Accepted,100,1004 ms,3.12 M,C++ 11,1.1 K,QuartZ_Z,2020-03-10 09:16:12
761942,2763,「JOI 2013 Final」 现代豪宅,Accepted,100,3761 ms,22.25 M,C++ 11,2.2 K,QuartZ_Z,2020-03-09 21:05:07
761396,2759,「JOI 2014 Final」飞天鼠,Accepted,100,1795 ms,9.86 M,C++ 11,1.9 K,QuartZ_Z,2020-03-08 21:57:29
761226,2764,「JOI 2013 Final」JOIOI 塔,Accepted,100,1570 ms,1.12 M,C++ 11,1.0 K,QuartZ_Z,2020-03-08 16:35:03
760731,2728,「JOI 2015 Final」城墙,Accepted,100,30181 ms,287.87 M,C++ 11,2.4 K,QuartZ_Z,2020-03-07 12:54:06
759180,2727,「JOI 2015 Final」舞会,Accepted,100,511 ms,2.00 M,C++ 11,1.2 K,QuartZ_Z,2020-03-05 08:48:48
758629,2726,「JOI 2015 Final」JOI 公园,Accepted,100,1771 ms,7.99 M,C++ 11,1.9 K,QuartZ_Z,2020-03-04 16:30:53
758505,2725,「JOI 2015 Final」分蛋糕 2,Accepted,100,1168 ms,61.50 M,C++ 11,1.1 K,QuartZ_Z,2020-03-04 14:06:49
758498,2724,「JOI 2015 Final」铁路旅行,Accepted,100,279 ms,1.62 M,C++ 11,1.1 K,QuartZ_Z,2020-03-04 13:48:17
758304,3255,「JOI 2020 Final」奥运公交,Accepted,100,12771 ms,3.00 M,C++ 11,2.7 K,QuartZ_Z,2020-03-04 08:52:36
757095,3254,「JOI 2020 Final」集邮比赛 3,Accepted,100,5954 ms,70.75 M,C++ 11,1.8 K,QuartZ_Z,2020-03-02 19:47:18
756253,3253,「JOI 2020 Final」JJOOII 2,Accepted,100,226 ms,4.19 M,C++ 11,1.4 K,QuartZ_Z,2020-03-01 17:15:43
756222,3252,「JOI 2020 Final」只不过是长的领带,Accepted,100,1595 ms,5.50 M,C++ 11,1.3 K,QuartZ_Z,2020-03-01 16:40:09
749060,6264,friend-斐波那契,Accepted,100,10 ms,124 K,C++ 11,1.3 K,QuartZ_Z,2020-02-21 13:25:16
742656,2115,「HNOI2015」落忆枫音,Accepted,100,99 ms,4.37 M,C++ 11,1.8 K,QuartZ_Z,2020-02-11 21:31:42
741250,2765,「JOI 2013 Final」 冒泡排序,Accepted,100,4020 ms,9.80 M,C++ 11,3.4 K,QuartZ_Z,2020-02-10 09:22:39
741090,535,「LibreOJ Round #6」花火,Accepted,100,1260 ms,19.62 M,C++ 11,2.7 K,QuartZ_Z,2020-02-09 21:37:04
736394,6202,叶氏筛法,Accepted,100,2623 ms,9.75 M,C++ 11 (Clang),1.1 K,QuartZ_Z,2020-02-03 22:51:32
736363,6235,区间素数个数,Accepted,100,4511 ms,9.00 M,C++ 11 (Clang),1013 B,QuartZ_Z,2020-02-03 22:03:31
733416,151,多项式求立方根,Accepted,100,8940 ms,10.34 M,C++ 11,3.9 K,QuartZ_Z,2020-01-30 22:24:11
723911,3030,「JOISC 2019 Day1」考试,Accepted,100,20955 ms,20.05 M,C++ (NOI),2.1 K,QuartZ_Z,2020-01-17 20:11:08
722505,3213,「CSP-S 2019」树的重心,Accepted,100,7085 ms,41.79 M,C++ (NOI),3.2 K,QuartZ_Z,2020-01-16 21:07:32
715414,3210,「CSP-S 2019」树上的数,Accepted,100,3862 ms,61.73 M,C++ (NOI),3.3 K,QuartZ_Z,2020-01-11 07:55:06
713275,2004,「SDOI2017」硬币游戏,Accepted,100,661 ms,2.00 M,C++ (NOI),2.2 K,QuartZ_Z,2020-01-07 13:25:12
712694,2721,「NOI2018」屠龙勇士,Accepted,100,7085 ms,5.52 M,C++ (NOI),2.2 K,QuartZ_Z,2020-01-05 22:10:57
711116,3159,「NOI2019」弹跳,Accepted,100,5632 ms,55.33 M,C++ (NOI),3.2 K,QuartZ_Z,2020-01-02 19:49:51
706339,3212,「CSP-S 2019」划分,Accepted,100,2211 ms,746.89 M,C++ 11,2.8 K,QuartZ_Z,2019-12-25 21:53:38
703225,3214,「PA 2019」A + B,Accepted,100,152 ms,124 K,C++ 11,904 B,QuartZ_Z,2019-12-20 21:30:34
690418,2133,「NOI2015」品酒大会,Accepted,100,1465 ms,23.10 M,C++ 11,3.2 K,QuartZ_Z,2019-12-06 20:01:44
689981,3108,「TJOI2019」甲苯先生和大中锋的字符串,Accepted,100,3412 ms,3.25 M,C++ 11,2.4 K,QuartZ_Z,2019-12-06 13:24:46
689503,2064,「HAOI2016」找相同字符,Accepted,100,1661 ms,10.12 M,C++ 11,2.6 K,QuartZ_Z,2019-12-05 19:16:31
688258,111,后缀排序,Accepted,100,970 ms,20.18 M,C++ 11,1.9 K,QuartZ_Z,2019-12-03 21:35:52
686539,3208,「CSP-S 2019」格雷码,Accepted,100,40 ms,124 K,C++ 11,1.1 K,QuartZ_Z,2019-12-01 20:27:30
686526,3209,「CSP-S 2019」括号树,Accepted,100,1520 ms,53.18 M,C++ 11,2.7 K,QuartZ_Z,2019-12-01 20:20:03
686511,3211,「CSP-S 2019」Emiya 家今天的饭,Accepted,100,1059 ms,1.12 M,C++ 11,1.4 K,QuartZ_Z,2019-12-01 20:08:32
684313,6244,七选五,Accepted,100,1699 ms,15.37 M,C++ 11,1.1 K,QuartZ_Z,2019-11-28 18:07:44
684076,2062,「HAOI2016」地图,Accepted,100,2284 ms,31.55 M,C++ 11,3.7 K,QuartZ_Z,2019-11-28 07:42:44
683966,2063,「HAOI2016」字符合并,Accepted,100,3091 ms,227.37 M,C++ 11,1.2 K,QuartZ_Z,2019-11-27 20:44:55
683506,2038,「SHOI2015」超能粒子炮・改,Accepted,100,1998 ms,41.88 M,C++ 11,1.6 K,QuartZ_Z,2019-11-26 21:41:42
683466,2034,「SDOI2016」排列计数,Accepted,100,1463 ms,23.03 M,C++ 11,1.3 K,QuartZ_Z,2019-11-26 21:04:39
683276,3119,「CTS2019 | CTSC2019」随机立方体,Accepted,100,4127 ms,152.00 M,C++ 11,1.8 K,QuartZ_Z,2019-11-26 14:00:30
