提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
840119,165,拉格朗日插值,Accepted,100,3537 ms,380 K,C++ (NOI),2.1 K,iot,2020-06-18 10:40:01
840052,162,快速幂 2,Accepted,100,910 ms,664 K,C++ (NOI),1.1 K,iot,2020-06-18 09:34:00
840011,161,乘法逆元 2,Accepted,100,495 ms,114.62 M,C++ (NOI),1.3 K,iot,2020-06-18 08:47:58
839992,149,01 分数规划,Accepted,100,15305 ms,1.62 M,C++ (NOI),1.3 K,iot,2020-06-18 08:30:08
839836,147,DFS 序 4,Accepted,100,3055 ms,69.57 M,C++ (NOI),2.6 K,iot,2020-06-17 21:49:40
839783,146,DFS 序 3，树上差分 1,Accepted,100,2539 ms,72.03 M,C++ (NOI),2.7 K,iot,2020-06-17 21:03:56
839619,132,树状数组 3 ：区间修改，区间查询,Accepted,100,1345 ms,15.47 M,C++ (NOI),1.7 K,iot,2020-06-17 19:44:54
839614,131,树状数组 2 ：区间修改，单点查询,Accepted,100,457 ms,11.61 M,C++ (NOI),1.6 K,iot,2020-06-17 19:39:33
839605,130,树状数组 1 ：单点修改，区间查询,Accepted,100,422 ms,11.64 M,C++ (NOI),1.5 K,iot,2020-06-17 19:37:34
839598,145,DFS 序 2,Accepted,100,1204 ms,57.43 M,C++ (NOI),2.0 K,iot,2020-06-17 19:34:32
839589,144,DFS 序 1,Accepted,100,781 ms,42.14 M,C++ (NOI),1.8 K,iot,2020-06-17 19:28:05
839573,136,最小瓶颈路,Accepted,100,40 ms,3.74 M,C++ (NOI),2.5 K,iot,2020-06-17 19:09:40
839571,6021,「from CommonAnts」寻找 LCR,Accepted,100,2022 ms,30.12 M,C++ 17,2.8 K,iot,2020-06-17 19:06:02
839570,137,最小瓶颈路 加强版,Accepted,100,2718 ms,30.00 M,C++ (NOI),2.8 K,iot,2020-06-17 19:05:26
838981,150,挑战多项式,Accepted,100,22419 ms,36.35 M,C++ 17,4.6 K,iot,2020-06-17 11:36:09
838794,112,三维偏序,Accepted,100,253 ms,5.43 M,C++ (NOI),2.2 K,iot,2020-06-17 07:56:18
838313,110,乘法逆元,Accepted,100,767 ms,23.09 M,C++ (NOI),1.1 K,iot,2020-06-16 19:32:48
838300,109,并查集,Accepted,100,232 ms,15.37 M,C++ (NOI),1.3 K,iot,2020-06-16 19:28:05
838268,107,维护全序集,Accepted,100,1263 ms,7.08 M,C++ (NOI),3.4 K,iot,2020-06-16 19:21:39
838235,106,二逼平衡树,Accepted,100,2271 ms,44.47 M,C++ (NOI),5.4 K,iot,2020-06-16 19:09:39
837507,105,文艺平衡树,Accepted,100,719 ms,26.93 M,C++ (NOI),3.0 K,iot,2020-06-15 21:38:10
836334,100,矩阵乘法,Accepted,100,1937 ms,9.86 M,C++ (NOI),1.6 K,iot,2020-06-15 08:02:26
836064,2012,「SCOI2016」背单词,Accepted,100,225 ms,54.75 M,C++ (NOI),1.9 K,iot,2020-06-14 20:07:14
835899,2013,「SCOI2016」幸运数字,Accepted,100,6184 ms,159.54 M,C++ 17,2.5 K,iot,2020-06-14 16:47:07
835898,2015,「SCOI2016」妖怪,Accepted,100,775 ms,30.79 M,C++ 17,2.1 K,iot,2020-06-14 16:46:47
835896,2016,「SCOI2016」美味,Accepted,100,4347 ms,93.33 M,C++ 17,1.4 K,iot,2020-06-14 16:46:25
835284,2077,「JSOI2016」飞机调度,Accepted,100,376 ms,5.12 M,C++ 17,2.7 K,iot,2020-06-13 21:14:57
834179,2072,「JSOI2016」独特的树叶,Accepted,100,134 ms,13.00 M,C++ 17,2.0 K,iot,2020-06-12 21:57:37
833944,2073,「JSOI2016」扭动的回文串,Accepted,100,85 ms,4.87 M,C++ 17,2.2 K,iot,2020-06-12 20:10:33
