提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
870769,6187,Odd,Accepted,100,6584 ms,42.12 M,C++ 17,1.8 K,mimi,2020-07-21 21:48:45
838810,6281,数列分块入门 5,Accepted,100,346 ms,632 K,C++ 17,1.3 K,mimi,2020-06-17 08:13:37
838767,6280,数列分块入门 4,Accepted,100,418 ms,1.02 M,C++ 17,1.2 K,mimi,2020-06-17 07:09:45
838763,6279,数列分块入门 3,Accepted,100,6322 ms,4.03 M,C++ 17,1.5 K,mimi,2020-06-17 06:44:26
838493,6278,数列分块入门 2,Accepted,100,1446 ms,792 K,C++ 17,1.3 K,mimi,2020-06-16 20:51:04
838281,6277,数列分块入门 1,Accepted,100,135 ms,556 K,C++ 17,675 B,mimi,2020-06-16 19:24:50
808502,171,最长公共子串,Accepted,100,49 ms,9.62 M,C++ 17 (Clang),1.7 K,mimi,2020-05-14 20:26:27
712549,139,树链剖分,Accepted,100,547 ms,13.95 M,C++ 11 (Clang),5.6 K,mimi,2020-01-05 17:30:20
664633,7,Input Test,Accepted,100,399 ms,1.25 M,C++ 11,2.8 K,mimi,2019-11-06 21:55:37
663976,1,A + B Problem,Accepted,100,9 ms,252 K,C++,2.5 K,mimi,2019-11-06 16:28:37
589125,149,01 分数规划,Accepted,100,9099 ms,2.62 M,C++,2.8 K,mimi,2019-08-29 23:42:17
327699,6258,「CodePlus 2017 12 月赛」火锅盛宴,Accepted,100,2612 ms,12.93 M,C++,2.4 K,mimi,2019-02-01 16:37:41
288712,104,普通平衡树,Accepted,100,247 ms,1.98 M,C++,1.6 K,mimi,2018-12-15 15:51:37
