提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
939896,2200,「ZJOI2014」力,Accepted,100,1420 ms,18.64 M,C++,2.4 K,moonoshawott,2020-09-24 22:08:44
939869,2199,「ZJOI2014」消棋子,Accepted,100,861 ms,19.88 M,C++,4.5 K,moonoshawott,2020-09-24 21:40:23
939804,2207,「HNOI2014」米特运输,Accepted,100,1149 ms,24.25 M,C++,1.1 K,moonoshawott,2020-09-24 20:50:18
939722,2203,「ZJOI2014」璀灿光华,Accepted,100,699 ms,13.87 M,C++,2.0 K,moonoshawott,2020-09-24 19:53:34
939296,2306,「NOI2017」蔬菜,Accepted,100,537 ms,6.59 M,C++,1.8 K,moonoshawott,2020-09-24 09:08:31
938935,2098,「CQOI2015」多项式,Accepted,100,142 ms,496 K,C++,2.4 K,moonoshawott,2020-09-23 18:03:15
935214,3057,「HNOI2019」校园旅行,Accepted,100,3037 ms,187.39 M,C++,2.4 K,moonoshawott,2020-09-18 20:41:09
933957,3326,「SNOI2020」字符串,Accepted,100,871 ms,22.12 M,C++,2.5 K,moonoshawott,2020-09-17 13:09:06
933570,3342,「NOI2020」制作菜品,Accepted,100,3912 ms,312.15 M,C++,2.3 K,moonoshawott,2020-09-16 19:49:33
932986,2382,「HNOI2013」数列,Accepted,100,10 ms,124 K,C++,512 B,moonoshawott,2020-09-15 22:07:29
932961,2146,「SHOI2017」寿司餐厅,Accepted,100,38 ms,1.12 M,C++,2.1 K,moonoshawott,2020-09-15 21:44:27
931851,2124,「HAOI2015」树上染色,Accepted,100,235 ms,31.12 M,C++,1.6 K,moonoshawott,2020-09-14 10:40:53
931147,2432,「POI2014」代理商 Couriers,Accepted,100,6011 ms,116.54 M,C++,1.3 K,moonoshawott,2020-09-12 18:28:27
930490,2373,「SCOI2012」滑雪与时间胶囊,Accepted,100,2875 ms,28.93 M,C++,1.7 K,moonoshawott,2020-09-12 07:46:23
930338,2304,「NOI2017」泳池,Accepted,100,1011 ms,31.03 M,C++,2.9 K,moonoshawott,2020-09-11 21:33:20
929861,3159,「NOI2019」弹跳,Accepted,100,4191 ms,51.47 M,C++,2.4 K,moonoshawott,2020-09-11 14:14:43
929854,6538,烷基计数 加强版 加强版,Accepted,100,867 ms,10.62 M,C++,3.4 K,moonoshawott,2020-09-11 13:35:10
928927,576,「LibreOJ NOI Round #2」签到游戏,Accepted,100,11503 ms,1.05 M,C++,2.3 K,moonoshawott,2020-09-09 21:09:58
928539,2444,「NOI2011」阿狸的打字机,Accepted,100,158 ms,19.32 M,C++,2.2 K,moonoshawott,2020-09-09 16:49:14
928377,2166,「POI2011 R3 Day1」聚会 Party,Accepted,100,2336 ms,8.74 M,C++,792 B,moonoshawott,2020-09-09 13:32:57
927567,2106,「JLOI2015」有意义的字符串,Accepted,100,20 ms,124 K,C++,1.3 K,moonoshawott,2020-09-08 14:08:16
927545,2115,「HNOI2015」落忆枫音,Accepted,100,193 ms,4.87 M,C++,1.2 K,moonoshawott,2020-09-08 13:41:47
927526,6030,「雅礼集训 2017 Day1」矩阵,Accepted,100,46 ms,1.12 M,C++,767 B,moonoshawott,2020-09-08 12:41:54
927425,2105,「TJOI2015」概率论,Accepted,100,20 ms,124 K,C++,130 B,moonoshawott,2020-09-08 07:46:18
926126,541,「LibreOJ NOIP Round #1」七曜圣贤,Accepted,100,3933 ms,6.87 M,C++,2.0 K,moonoshawott,2020-09-06 10:36:19
926094,2712,「BalkanOI 2018 Day1」Minmaxtree,Accepted,100,2570 ms,38.68 M,C++,5.5 K,moonoshawott,2020-09-06 09:44:13
924745,539,「LibreOJ NOIP Round #1」旅游路线,Accepted,100,547 ms,11.75 M,C++,2.8 K,moonoshawott,2020-09-04 17:16:01
923744,6033,「雅礼集训 2017 Day2」棋盘游戏,Accepted,100,23 ms,752 K,C++,2.8 K,moonoshawott,2020-09-02 21:46:19
923571,6503,「雅礼集训 2018 Day4」Magic,Accepted,100,1581 ms,3.00 M,C++,3.1 K,moonoshawott,2020-09-02 19:44:41
923531,6031,「雅礼集训 2017 Day1」字符串,Accepted,100,462 ms,50.50 M,C++,4.4 K,moonoshawott,2020-09-02 18:09:16
923125,6059,「2017 山东一轮集训 Day1」Sum,Accepted,100,353 ms,1020 K,C++,2.5 K,moonoshawott,2020-09-01 21:57:19
923021,6041,「雅礼集训 2017 Day7」事情的相似度,Accepted,100,2704 ms,45.98 M,C++,3.0 K,moonoshawott,2020-09-01 19:52:31
922432,2331,「清华集训 2017」某位歌姬的故事,Accepted,100,477 ms,4.00 M,C++,2.9 K,moonoshawott,2020-08-31 20:32:54
922344,2256,「SNOI2017」英雄联盟,Accepted,100,92 ms,23.37 M,C++,717 B,moonoshawott,2020-08-31 18:51:45
922220,6160,「美团 CodeM 初赛 Round A」二分图染色,Accepted,100,2468 ms,114.62 M,C++,1.1 K,moonoshawott,2020-08-31 13:36:35
922098,6540,无聊的数对,Accepted,100,678 ms,4.44 M,C++,2.0 K,moonoshawott,2020-08-31 07:27:10
921890,3163,「CEOI2019」动态直径,Accepted,100,6407 ms,38.69 M,C++,3.3 K,moonoshawott,2020-08-30 18:50:43
921025,575,「LibreOJ NOI Round #2」不等关系,Accepted,100,2804 ms,4.75 M,C++,3.3 K,moonoshawott,2020-08-29 14:31:14
918866,2126,「HAOI2015」数组游戏,Accepted,100,1085 ms,636 K,C++,1.1 K,moonoshawott,2020-08-26 19:06:29
918518,2553,「CTSC2018」暴力写挂,Accepted,100,9238 ms,324.25 M,C++,3.6 K,moonoshawott,2020-08-26 11:49:21
918358,2210,「HNOI2014」江南乐,Accepted,100,15090 ms,508 K,C++,899 B,moonoshawott,2020-08-26 07:39:45
918132,2326,「清华集训 2017」简单数据结构,Accepted,100,13386 ms,189.30 M,C++,2.3 K,moonoshawott,2020-08-25 18:13:43
917636,2664,「NOI2013」向量内积,Accepted,100,3184 ms,42.50 M,C++,2.0 K,moonoshawott,2020-08-25 06:53:42
917460,2257,「SNOI2017」遗失的答案,Accepted,100,856 ms,380 K,C++,1.7 K,moonoshawott,2020-08-24 21:12:42
917372,2249,「NOI2014」购票,Accepted,100,8693 ms,130.34 M,C++,3.2 K,moonoshawott,2020-08-24 19:58:32
916233,2090,「ZJOI2016」旅行者,Accepted,100,6507 ms,3.47 M,C++,3.5 K,moonoshawott,2020-08-23 18:37:00
915932,2091,「ZJOI2016」小星星,Accepted,100,1510 ms,124 K,C++,1.4 K,moonoshawott,2020-08-23 13:08:58
912254,3340,「NOI2020」命运,Accepted,100,5683 ms,252.37 M,C++ 11 (NOI),4.9 K,moonoshawott,2020-08-20 18:24:27
909980,3339,「NOI2020」美食家,Accepted,100,3730 ms,20.92 M,C++,2.3 K,moonoshawott,2020-08-18 22:23:13
908111,2242,「CQOI2014」通配符匹配,Accepted,100,893 ms,1.37 M,C++,2.3 K,moonoshawott,2020-08-17 16:37:09
907685,2046,「CQOI2016」路由表,Accepted,100,2451 ms,10.83 M,C++,1.8 K,moonoshawott,2020-08-17 11:06:31
903751,2226,「AHOI2014」支线剧情,Accepted,100,63 ms,380 K,C++,3.1 K,moonoshawott,2020-08-13 21:13:25
902609,2042,「CQOI2016」不同的最小割,Accepted,100,2276 ms,636 K,C++,2.7 K,moonoshawott,2020-08-12 21:20:27
901930,2078,「JSOI2016」无界单词,Accepted,100,13 ms,124 K,C++,1.7 K,moonoshawott,2020-08-12 16:02:54
900256,2072,「JSOI2016」独特的树叶,Accepted,100,367 ms,14.00 M,C++,4.8 K,moonoshawott,2020-08-11 14:19:24
896564,3011,「JOI 2019 Final」画展,Accepted,100,1155 ms,1.33 M,C++,546 B,moonoshawott,2020-08-08 09:15:02
896535,3010,「JOI 2019 Final」勇者比太郎,Accepted,100,1994 ms,77.62 M,C++,634 B,moonoshawott,2020-08-08 08:56:50
896523,2763,「JOI 2013 Final」 现代豪宅,Accepted,100,5484 ms,48.87 M,C++,2.7 K,moonoshawott,2020-08-08 08:49:22
895311,573,「LibreOJ NOI Round #2」单枪匹马,Accepted,100,1633 ms,25.93 M,C++,1.6 K,moonoshawott,2020-08-07 10:53:08
893695,6723,「CodePlus #7」教科书般的亵渎,Accepted,100,5198 ms,65.64 M,C++,1.5 K,moonoshawott,2020-08-06 14:59:13
893283,3101,「JSOI2019」精准预测,Accepted,100,5112 ms,549.38 M,C++,3.9 K,moonoshawott,2020-08-06 09:17:21
883638,528,「LibreOJ β Round #4」求和,Accepted,100,589 ms,16.25 M,C++,1.4 K,moonoshawott,2020-07-30 16:25:59
881281,507,「LibreOJ NOI Round #1」接竹竿,Accepted,100,539 ms,26.75 M,C++,820 B,moonoshawott,2020-07-29 10:03:45
880574,3097,「SNOI2019」通信,Accepted,100,18619 ms,4.37 M,C++,5.5 K,moonoshawott,2020-07-28 19:14:02
876910,3052,「十二省联考 2019」春节十二响,Accepted,100,468 ms,21.36 M,C++,1.9 K,moonoshawott,2020-07-26 14:19:07
